archive_size;release_datetime;version
584268;2011-02-28 09:04:08.000000000+0100;A01
657411;2011-03-21 13:20:55.000000000+0100;A02
696246;2011-04-12 08:06:44.000000000+0200;A03
734715;2011-08-10 21:17:54.000000000+0200;A04
739532;2011-12-28 20:22:51.000000000+0100;A06
745164;2012-01-12 23:45:27.000000000+0100;A07
762220;2012-06-06 23:28:17.000000000+0200;A08
763082;2012-06-19 23:14:39.000000000+0200;A09
936629;2012-09-03 09:21:32.000000000+0200;A10
939072;2012-10-04 00:08:06.000000000+0200;A11
941748;2012-10-12 21:27:41.000000000+0200;A12
1009352;2013-04-05 16:57:34.000000000+0200;A13
1002803;2013-05-02 15:43:09.000000000+0200;A14
1003368;2013-05-07 22:26:39.000000000+0200;A15
1003552;2013-06-19 21:19:43.000000000+0200;A16
3295626;2014-01-31 20:59:57.000000000+0100;A17
3296646;2014-02-16 21:47:34.000000000+0100;A18
3303188;2014-03-09 10:09:20.000000000+0100;A19
3176154;2014-03-16 23:00:57.000000000+0100;A20
3177028;2014-03-27 12:41:18.000000000+0100;A21
3175346;2014-04-03 21:38:19.000000000+0200;A22
3516510;2014-10-01 09:51:52.000000000+0200;A24
3598659;2015-05-21 23:34:55.000000000+0200;A26
3599116;2015-06-02 21:04:44.000000000+0200;A27
3597544;2015-06-25 21:41:53.000000000+0200;A28
3590143;2015-08-05 12:26:35.000000000+0200;A29
3593401;2015-09-21 22:54:29.000000000+0200;A30
3689189;2015-12-27 18:21:03.000000000+0100;A31
3691836;2016-04-29 14:41:37.000000000+0200;A32
3692449;2016-05-29 22:27:53.000000000+0200;A33
3692514;2016-06-15 23:09:39.000000000+0200;A34
3692621;2016-06-16 22:13:26.000000000+0200;A35
3701372;2016-09-06 22:30:02.000000000+0200;A37
3723620;2016-12-13 22:53:48.000000000+0100;A38
3723004;2017-01-23 10:04:52.000000000+0100;A39
3751639;2018-01-29 22:23:17.773483794+0100;A41
3751567;2018-02-13 19:14:20.000000000+0100;A42
5005741;2018-08-20 22:35:34.000000000+0200;A44
5016031;2018-09-15 09:25:25.000000000+0200;A45
5019667;2018-09-25 19:22:27.000000000+0200;A46
5037771;2018-10-28 21:19:32.156330396+0100;A47
5066719;2019-03-12 23:32:34.000000000+0100;A48
5067199;2019-04-10 21:58:34.000000000+0200;A49
5343149;2019-09-18 19:54:51.000000000+0200;A50
5340790;2019-11-16 11:16:38.000000000+0100;A51
6499804;2020-04-06 21:34:43.000000000+0200;A52
6522758;2020-04-28 21:36:39.000000000+0200;A53
6522570;2020-05-06 17:40:07.000000000+0200;A54
6520762;2020-08-15 12:32:21.000000000+0200;A55
6531750;2020-08-17 22:23:50.000000000+0200;A56
6537146;2020-11-16 20:53:54.000000000+0100;A57
6793863;2021-04-26 08:41:35.000000000+0200;A58
6774806;2021-05-19 22:34:31.000000000+0200;A59
6796247;2022-01-25 14:57:44.000000000+0100;A60
